t,dsDNA488,dsDNA488647
1.36E-05,0.918290301,0.928537257
1.40E-05,0.883512803,0.981876628
1.44E-05,0.918997026,0.900098245
1.48E-05,0.909202676,0.955410692
1.52E-05,0.914179898,0.951709414
1.56E-05,0.909437512,0.909672311
1.60E-05,0.904286126,0.959836589
1.68E-05,0.91117177,0.976514544
1.76E-05,0.899342433,0.971590296
1.84E-05,0.890788965,0.946359371
1.92E-05,0.882611212,0.957625517
2.00E-05,0.88230231,0.886661684
2.08E-05,0.879835863,0.985923796
2.16E-05,0.879984049,0.967889487
2.24E-05,0.860184733,0.940619967
2.32E-05,0.863395196,0.937151211
2.40E-05,0.86790805,0.921131417
2.48E-05,0.86868581,0.956713567
2.56E-05,0.856097493,0.929068289
2.64E-05,0.865686721,0.932908737
2.72E-05,0.855726027,0.911339372
2.80E-05,0.846705973,0.894750704
2.88E-05,0.837178959,0.87775735
2.96E-05,0.839673604,0.897457781
3.04E-05,0.840627098,0.898618359
3.12E-05,0.830922347,0.90076485
3.20E-05,0.832425856,0.86527277
3.36E-05,0.825414757,0.905386053
3.52E-05,0.813987546,0.894275026
3.68E-05,0.803322563,0.891140277
3.84E-05,0.810535889,0.90108838
4.00E-05,0.799690354,0.904198892
4.16E-05,0.787682414,0.878902135
4.32E-05,0.786678587,0.86914152
4.48E-05,0.778290001,0.880797809
4.64E-05,0.777110656,0.84043965
4.80E-05,0.77233374,0.837545397
4.96E-05,0.769542749,0.870486614
5.12E-05,0.760275331,0.860374323
5.28E-05,0.753190031,0.874988663
5.44E-05,0.751502859,0.841438541
5.60E-05,0.736902394,0.821730136
5.76E-05,0.733752358,0.842784887
5.92E-05,0.734817181,0.822090412
6.08E-05,0.719137091,0.801981387
6.24E-05,0.725966557,0.823909621
6.40E-05,0.720684493,0.861492838
6.72E-05,0.708592474,0.813124938
7.04E-05,0.7040833,0.804412471
7.36E-05,0.697721205,0.786301698
7.68E-05,0.68543865,0.797415695
8.00E-05,0.673032616,0.788057264
8.32E-05,0.666911472,0.78479304
8.64E-05,0.663249225,0.76930506
8.96E-05,0.655805799,0.753208802
9.28E-05,0.646889687,0.768243308
9.60E-05,0.63656348,0.775123275
9.92E-05,0.630590847,0.743649122
0.0001024,0.626528964,0.75824157
0.0001056,0.612697735,0.720406441
0.0001088,0.609549404,0.754619572
0.000112,0.600054944,0.719327019
0.0001152,0.602341652,0.702123974
0.0001184,0.599692299,0.709277745
0.0001216,0.587058574,0.719905119
0.0001248,0.582170951,0.703344911
0.000128,0.579214293,0.710686638
0.0001344,0.571369337,0.697420364
0.0001408,0.556443003,0.678964951
0.0001472,0.549938675,0.661551588
0.0001536,0.537271178,0.646717861
0.00016,0.525717619,0.651071983
0.0001664,0.522226344,0.633770581
0.0001728,0.512482328,0.638096557
0.0001792,0.50249192,0.640790343
0.0001856,0.489996991,0.61073728
