t,GTP_EEA1,GTP_EEA1_2uMRab5GTP_Cy1_45
0.0001216,0.840315853,0.861542105
0.0001248,0.847513102,0.837402071
0.000128,0.834326264,0.834885472
0.0001344,0.843192022,0.817712669
0.0001408,0.83568511,0.823855881
0.0001472,0.848488011,0.809899257
0.0001536,0.823358233,0.806932568
0.00016,0.814647094,0.812324592
0.0001664,0.81353553,0.817223387
0.0001728,0.815755525,0.795511431
0.0001792,0.787547174,0.802820866
0.0001856,0.789780166,0.801788172
0.000192,0.802638866,0.810416698
0.0001984,0.819256556,0.786713696
0.0002048,0.783965943,0.806327032
0.0002112,0.785724327,0.778436543
0.0002176,0.801912304,0.767670953
0.000224,0.780006036,0.778160686
0.0002304,0.763983038,0.784123929
0.0002368,0.807573969,0.790115897
0.0002432,0.768935797,0.778881828
0.0002496,0.782179508,0.777101691
0.000256,0.767701043,0.770734721
0.0002688,0.76427241,0.759685315
0.0002816,0.740484898,0.75638842
0.0002944,0.734420473,0.749605227
0.0003072,0.723520847,0.754337121
0.00032,0.747926822,0.734595666
0.0003328,0.743323807,0.744140742
0.0003456,0.713032621,0.738549347
0.0003584,0.706169442,0.716267057
0.0003712,0.712461847,0.714997346
0.000384,0.689897233,0.714412595
0.0003968,0.697496197,0.713112858
0.0004096,0.687606523,0.70804159
0.0004224,0.696463809,0.697379527
0.0004352,0.685765297,0.701115195
0.000448,0.690228305,0.686145571
0.0004608,0.70011033,0.676964803
0.0004736,0.6707257,0.682414056
0.0004864,0.65992077,0.667988445
0.0004992,0.663342167,0.678473384
0.000512,0.654375274,0.659958122
0.0005376,0.656281282,0.667485733
0.0005632,0.645346686,0.653041696
0.0005888,0.6355308,0.641544144
0.0006144,0.623270146,0.639905961
0.00064,0.617430775,0.632071591
0.0006656,0.608464331,0.623117858
0.0006912,0.598213882,0.624565435
0.0007168,0.601513867,0.610043993
0.0007424,0.587062393,0.608251864
0.000768,0.574532245,0.604840631
0.0007936,0.575525889,0.585400706
0.0008192,0.56554506,0.593370713
0.0008448,0.553224044,0.572205891
0.0008704,0.556445358,0.560936285
0.000896,0.546158708,0.563592846
0.0009216,0.537178683,0.56088902
0.0009472,0.529628888,0.558179797
0.0009728,0.529447336,0.544537501
0.0009984,0.528017827,0.540331376
0.001024,0.524802043,0.536715371
0.0010752,0.510474503,0.528281317
0.0011264,0.50198406,0.509941468
0.0011776,0.486980528,0.498867119
0.0012288,0.481508007,0.491233094
0.00128,0.479420753,0.492661193
0.0013312,0.471157747,0.487580219
0.0013824,0.463397422,0.472815419
0.0014336,0.45223228,0.464435083
0.0014848,0.444604429,0.456482455
0.001536,0.437194895,0.453359003
0.0015872,0.433960831,0.440753862
0.0016384,0.423622807,0.435314789
0.0016896,0.422035011,0.433079845
0.0017408,0.411542951,0.420080132
0.001792,0.406883936,0.417462609
0.0018432,0.40546394,0.40941142
0.0018944,0.391615521,0.410023816
0.0019456,0.387063153,0.397430278
0.0019968,0.38450893,0.392871798
0.002048,0.370725997,0.386857398
0.0021504,0.370436384,0.369247928
0.0022528,0.353676255,0.366676278
0.0023552,0.341575369,0.353401636
0.0024576,0.337812939,0.345859059
0.00256,0.32775144,0.344645584
0.0026624,0.319456545,0.329197699
0.0027648,0.31700189,0.322738132
0.0028672,0.307615263,0.315005648
0.0029696,0.298098969,0.307065659
0.003072,0.29362627,0.292989957
0.0031744,0.287879987,0.291087117
0.0032768,0.28469026,0.283917293
0.0033792,0.271803378,0.2760063
0.0034816,0.270173607,0.275101285
0.003584,0.262697054,0.272548935
0.0036864,0.264902239,0.260661011
0.0037888,0.25464727,0.260616801
0.0038912,0.249320821,0.260995029
0.0039936,0.245536163,0.25290103
0.004096,0.238456679,0.248657287
0.0043008,0.23307417,0.238195467
0.0045056,0.224758449,0.231510734
0.0047104,0.22163106,0.222704618
0.0049152,0.213582492,0.215463843
0.00512,0.205009301,0.208338644
0.0053248,0.198638317,0.202962602
0.0055296,0.19915167,0.199002866
0.0057344,0.18820316,0.19441892
0.0059392,0.178216091,0.185701267
0.006144,0.174753257,0.181148873
0.0063488,0.173771721,0.178177118
