t,EEA1,EEA1_2uM_Rab5GDP
0.0029696,0.326619307,0.347230302
0.003072,0.322621326,0.344946272
0.0031744,0.3129644,0.337060938
0.0032768,0.308816275,0.331617828
0.0033792,0.306140932,0.321084389
0.0034816,0.298157448,0.318930196
0.003584,0.290811071,0.316041226
0.0036864,0.287118233,0.307155405
0.0037888,0.276526493,0.3041461
0.0038912,0.279583035,0.295984791
0.0039936,0.273543303,0.290781605
0.004096,0.266251087,0.290856992
0.0043008,0.256294333,0.279282387
0.0045056,0.248735309,0.271653851
0.0047104,0.240924197,0.263408591
0.0049152,0.234557669,0.255373232
0.00512,0.229711334,0.249029604
0.0053248,0.218340253,0.242209653
0.0055296,0.212617481,0.230348813
0.0057344,0.210246267,0.22453693
0.0059392,0.204980428,0.21679403
0.006144,0.195032036,0.210144551
0.0063488,0.194492596,0.206743193
0.0065536,0.187851827,0.205025904
0.0067584,0.181836851,0.196768771
0.0069632,0.179299422,0.194137121
0.007168,0.173785374,0.186983979
0.0073728,0.16913323,0.182269218
0.0075776,0.166333309,0.180336823
0.0077824,0.162951705,0.18038813
0.0079872,0.158459024,0.171873103
0.008192,0.15508944,0.170594944
0.0086016,0.146924565,0.162120458
0.0090112,0.141222275,0.156578457
0.0094208,0.136972753,0.149076118
0.0098304,0.132052008,0.142738962
0.01024,0.125641654,0.141126325
0.0106496,0.123533152,0.13456519
0.0110592,0.121821216,0.130128017
0.0114688,0.115237455,0.128284818
0.0118784,0.111609406,0.123656964
0.012288,0.105985858,0.118400191
0.0126976,0.102550135,0.116210809
0.0131072,0.099205586,0.114575368
0.0135168,0.098711191,0.10886455
0.0139264,0.096578804,0.112042695
0.014336,0.098056188,0.106961502
0.0147456,0.088778398,0.104384725
0.0151552,0.087896205,0.103844215
0.0155648,0.085119851,0.102355618
0.0159744,0.081528969,0.098959107
0.016384,0.079254795,0.095122738
0.0172032,0.081015421,0.090017758
0.0180224,0.077347817,0.083498978
0.0188416,0.074868395,0.080324552
0.0196608,0.070963353,0.080061509
0.02048,0.066053552,0.072791033
0.0212992,0.063050459,0.07076506
0.0221184,0.060257629,0.070393303
0.0229376,0.05724876,0.065592042
0.0237568,0.05541061,0.064458846
0.024576,0.053196081,0.062688623
0.0253952,0.054155892,0.061960926
0.0262144,0.051969529,0.059336597
0.0270336,0.049558058,0.059256167
0.0278528,0.046098287,0.055180961
0.028672,0.047007367,0.05200297
0.0294912,0.045482952,0.05143086
0.0303104,0.043939102,0.047965668
0.0311296,0.040219326,0.046818868
0.0319488,0.039663207,0.046658856
0.032768,0.036177091,0.045254969
0.0344064,0.034739165,0.042529268
0.0360448,0.035611864,0.040615284
0.0376832,0.034084583,0.03608583
0.0393216,0.029657281,0.031938861
0.04096,0.025545686,0.032388027
0.0425984,0.02436003,0.029300519
0.0442368,0.025459158,0.032789385
0.0458752,0.020933507,0.034096835
0.0475136,0.020189154,0.033423203
0.049152,0.024084947,0.035412047
0.0507904,0.025573776,0.03697882
0.0524288,0.025192625,0.035847006
0.0540672,0.02328884,0.031268106
0.0557056,0.020035156,0.030244104
0.057344,0.014744756,0.027570648
0.0589824,0.015485667,0.026685841
0.0606208,0.016643347,0.026215785
0.0622592,0.014463819,0.02990676
0.0638976,0.012715467,0.028859362
0.065536,0.010536682,0.024222959
0.0688128,0.009248532,0.021517092
0.0720896,0.013593514,0.024971159
0.0753664,0.014698705,0.01867746
0.0786432,0.012751817,0.020148983
0.08192,0.012802596,0.01695946
0.0851968,0.007519267,0.017039991
0.0884736,0.007410866,0.018161077
0.0917504,0.006298679,0.014478598
0.0950272,0.006698447,0.014311263
0.098304,0.005893158,0.011974898
0.1015808,0.004365674,0.010210144
0.1048576,0.008418542,0.007903048
0.1081344,0.007071679,0.008535211
